,cpu_usage,mem_usage,process
0,2.8,57958400,421
1,0.5,57966592,421
2,0.0,57966592,421
3,2.2,57966592,421
4,0.4,57966592,421
5,0.7,57966592,421
6,1.8,57966592,421
7,4.3,57966592,421
8,5.9,57966592,421
9,8.7,57966592,421
